Date,Week_Numeric,Week_String,Sleep_Metric_Type,Value_in_Seconds,Rested
11/28/2024,5,Thursday,Sleep Duration + Naps,30120,Yes
11/29/2024,6,Friday,Sleep Duration + Naps,29460,No
11/30/2024,7,Saturday,Sleep Duration + Naps,36300,No
12/1/2024,1,Sunday,Sleep Duration + Naps,28200,Yes
12/2/2024,2,Monday,Sleep Duration + Naps,30900,No
12/3/2024,3,Tuesday,Sleep Duration + Naps,37020,No
12/4/2024,4,Wednesday,Sleep Duration + Naps,30600,No
12/5/2024,5,Thursday,Sleep Duration + Naps,43800,No
12/6/2024,6,Friday,Sleep Duration + Naps,19800,Yes
12/7/2024,7,Saturday,Sleep Duration + Naps,28800,Yes
12/8/2024,1,Sunday,Sleep Duration + Naps,28920,Yes
12/9/2024,2,Monday,Sleep Duration + Naps,32040,No
12/10/2024,3,Tuesday,Sleep Duration + Naps,27900,Yes
12/11/2024,4,Wednesday,Sleep Duration + Naps,29820,Yes
12/12/2024,5,Thursday,Sleep Duration + Naps,30240,Yes
12/13/2024,6,Friday,Sleep Duration + Naps,30540,Yes
12/14/2024,7,Saturday,Sleep Duration + Naps,30480,Yes
12/15/2024,1,Sunday,Sleep Duration + Naps,35100,No
12/16/2024,2,Monday,Sleep Duration + Naps,36300,No
12/17/2024,3,Tuesday,Sleep Duration + Naps,31140,No
12/18/2024,4,Wednesday,Sleep Duration + Naps,29820,Yes
12/19/2024,5,Thursday,Sleep Duration + Naps,28980,Yes
12/20/2024,6,Friday,Sleep Duration + Naps,29460,No
12/21/2024,7,Saturday,Sleep Duration + Naps,37320,No
12/22/2024,1,Sunday,Sleep Duration + Naps,25680,No
12/23/2024,2,Monday,Sleep Duration + Naps,29940,No
